Feature,Original Label,Cluster Label
0,Normal,0
1,Normal,0
2,Normal,0
3,Normal,0
4,Normal,0
5,Normal,0
6,Normal,0
7,Normal,0
8,Normal,0
9,Normal,0
10,Normal,0
11,Normal,0
12,Normal,0
13,Normal,0
14,Normal,0
15,Normal,0
16,Normal,0
17,Normal,0
18,Normal,0
19,Normal,0
20,Normal,0
21,Normal,0
22,Normal,0
23,Normal,0
24,Normal,0
25,Normal,0
26,Normal,0
27,Normal,0
28,Normal,0
29,Normal,0
30,Normal,0
31,Normal,0
32,Normal,0
33,Normal,0
34,Normal,0
35,Normal,0
36,Normal,0
37,Normal,0
38,Normal,0
39,Normal,0
0,Unbalanced,1
1,Unbalanced,1
2,Unbalanced,1
3,Unbalanced,1
4,Unbalanced,1
5,Unbalanced,1
6,Unbalanced,1
7,Unbalanced,1
8,Unbalanced,1
9,Unbalanced,1
10,Unbalanced,1
11,Unbalanced,1
12,Unbalanced,1
13,Unbalanced,1
14,Unbalanced,1
15,Unbalanced,1
16,Unbalanced,1
17,Unbalanced,1
18,Unbalanced,1
19,Unbalanced,1
20,Unbalanced,1
21,Unbalanced,1
22,Unbalanced,1
23,Unbalanced,1
24,Unbalanced,1
25,Unbalanced,1
26,Unbalanced,1
27,Unbalanced,1
28,Unbalanced,1
29,Unbalanced,1
30,Unbalanced,1
31,Unbalanced,1
32,Unbalanced,1
33,Unbalanced,1
34,Unbalanced,1
35,Unbalanced,1
36,Unbalanced,1
37,Unbalanced,1
38,Unbalanced,1
39,Unbalanced,1
